"Date","year","month","Local.Site.Name","County","meanlatitude","meanlongitude","PM2.5","Ozone"
2024-01-21,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,27.5,NA
2024-01-21,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,34,NA
2024-01-21,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,55,NA
2024-01-21,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,35,31
2024-01-21,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,28,NA
2024-01-21,2024,1,"Millbrook School","Wake",35.856111,-78.574167,33,33
2024-01-21,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
2024-01-21,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,29,NA
2024-01-22,2024,1,"Bryson City","Swain",35.434767,-83.442133,34,NA
2024-01-22,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,33.5,NA
2024-01-22,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,59,NA
2024-01-22,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,68,NA
2024-01-22,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,4,NA
2024-01-22,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,62.5,33
2024-01-22,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,59,NA
2024-01-22,2024,1,"Linville Falls","Avery",35.972347,-81.933072,16,NA
2024-01-22,2024,1,"Millbrook School","Wake",35.856111,-78.574167,62,32
2024-01-22,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,46,NA
2024-01-22,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,46,NA
2024-01-23,2024,1,"Bryson City","Swain",35.434767,-83.442133,48,NA
2024-01-23,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,23.5,NA
2024-01-23,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,80,NA
2024-01-23,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,75,NA
2024-01-23,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,61,NA
2024-01-23,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,63,NA
2024-01-23,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,60,NA
2024-01-23,2024,1,"Millbrook School","Wake",35.856111,-78.574167,63,10
2024-01-23,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,51,NA
2024-01-23,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,55,NA
2024-01-24,2024,1,"Bryson City","Swain",35.434767,-83.442133,32,NA
2024-01-24,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,18,NA
2024-01-24,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,61,NA
2024-01-24,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,62,NA
2024-01-24,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,54,26
2024-01-24,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,55,NA
2024-01-24,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
2024-01-24,2024,1,"Millbrook School","Wake",35.856111,-78.574167,57,32
2024-01-24,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,28,NA
2024-01-24,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,38,NA
2024-01-25,2024,1,"Bryson City","Swain",35.434767,-83.442133,10,NA
2024-01-25,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,15.5,NA
2024-01-25,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,14,NA
2024-01-25,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,17,NA
2024-01-25,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2,NA
2024-01-25,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,10.5,22
2024-01-25,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,15.5,NA
2024-01-25,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,17,NA
2024-01-25,2024,1,"Linville Falls","Avery",35.972347,-81.933072,5,NA
2024-01-25,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,17,NA
2024-01-25,2024,1,"Millbrook School","Wake",35.856111,-78.574167,19.5,23
2024-01-25,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
2024-01-25,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,6,NA
2024-01-26,2024,1,"Bryson City","Swain",35.434767,-83.442133,12,NA
2024-01-26,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,23,NA
2024-01-26,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,48,NA
2024-01-26,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,28,NA
2024-01-26,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,24,27
2024-01-26,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,36,NA
2024-01-26,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,18,NA
2024-01-26,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,29,NA
2024-01-26,2024,1,"Millbrook School","Wake",35.856111,-78.574167,35,22
2024-01-26,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31,NA
2024-01-26,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,27,NA
2024-01-27,2024,1,"Bryson City","Swain",35.434767,-83.442133,17,NA
2024-01-27,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,30.5,NA
2024-01-27,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,37,NA
2024-01-27,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,42,NA
2024-01-27,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,34,24
2024-01-27,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,24,NA
2024-01-27,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
2024-01-27,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,24,NA
2024-01-27,2024,1,"Millbrook School","Wake",35.856111,-78.574167,35,26
