"CAS Number","Chemical Name","Species Common Name","Effect","Effect Measurement","Endpoint","Year","Records","Citation"
"111988499","Thiacloprid","Braconid Wasp","Population","Sex ratio","LOEL","2015","1","Tabozada,E.O., S.M. Sayed, and S.A. El-Arnaouty (2015). Side Effects of Sublethal Concentration of Two Neonicotinoids; Thiamethoxam and Thiacloprid on the Larval Parasitoid, Bracon brevicornis (Hymenoptera: Braconidae). Am. J. Exp. Agric., 5, (1), 29-35. doi:10.9734/AJEA/2015/12469. ECOREF#:183597"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Behavior","Accuracy of learned task, performance","LOEL","2020","2","Jeker,L., and D. Grossar (2020). Under Review: Data Requirements and Method Development of a New Bee Risk Assessment Scheme for Plant Protection Product Registration. Chimia, 74, (3), 176-182. doi:10.2533/chimia.2020.176. ECOREF#:183873"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Behavior","Accuracy of learned task, performance","NOEL","2020","4","Jeker,L., and D. Grossar (2020). Under Review: Data Requirements and Method Development of a New Bee Risk Assessment Scheme for Plant Protection Product Registration. Chimia, 74, (3), 176-182. doi:10.2533/chimia.2020.176. ECOREF#:183873"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Behavior","Search/explore/forage behavior","LOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Feeding behavior","Feeding behavior","LOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Mortality","Mortality","LD50","2018","2","Manjon,C., B.J. Troczka, M. Zaworra, K. Beadle, E. Randall, G. Hertlein, K.S. Singh, C.T. Zimmer, R.A. Homem, B. Lueke, (2018). Unravelling the Molecular Determinants of Bee Sensitivity to Neonicotinoid Insecticides. Curr. Biol., 28, (7), 1137-1144. doi:10.1016/j.cub.2018.02.045. ECOREF#:183814"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Mortality","Mortality","NOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Population","Abundance","LOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Population","Abundance","NOEL","2021","6","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
"111988499","Thiacloprid","Buff Tailed Bumblebee","Population","Sex ratio","NOEL","2021","1","Van Oystaeyen,A., B.K. Klatt, C. Petit, N. Lenaerts, and F. Wackers (2021). Short-Term Lab Assessments and Microcolonies are Insufficient for the Risk Assessment of Insecticides for Bees. Chemosphere, 273, 10 p. doi:10.1016/j.chemosphere.2020.128518. ECOREF#:186733"
